C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
1602,16.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
1603,16.0,1996.0,2012,16.0,1,1.0,1.0,Y2958300,hurt_physically,True,False
1901,19.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
2001,20.0,1990.0,2006,16.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
2001,20.0,1990.0,2008,18.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
2001,20.0,1990.0,2010,20.0,1,0.0,0.0,Y2609100,physical_fight,True,False
2001,20.0,1990.0,2012,22.0,1,0.0,0.0,Y2959200,physical_fight,True,False
2501,25.0,1990.0,2006,16.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
2501,25.0,1990.0,2008,18.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
2501,25.0,1990.0,2010,20.0,1,0.0,0.0,Y2609100,physical_fight,True,False
2501,25.0,1990.0,2012,22.0,1,0.0,0.0,Y2959200,physical_fight,True,False
2502,25.0,1993.0,2008,15.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
2502,25.0,1993.0,2010,17.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
2502,25.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
2701,27.0,1988.0,2004,16.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
2701,27.0,1988.0,2006,18.0,1,0.0,0.0,Y1941500,physical_fight,True,False
2701,27.0,1988.0,2008,20.0,1,0.0,0.0,Y2257500,physical_fight,True,False
2701,27.0,1988.0,2010,22.0,1,0.0,0.0,Y2609100,physical_fight,True,False
2701,27.0,1988.0,2012,24.0,1,0.0,0.0,Y2959200,physical_fight,True,False
2702,27.0,1992.0,2010,18.0,1,0.0,0.0,Y2609100,physical_fight,True,False
2702,27.0,1992.0,2012,20.0,1,0.0,0.0,Y2959200,physical_fight,True,False
3001,30.0,1982.0,2002,20.0,1,0.0,0.0,Y1416800,physical_fight,True,False
3001,30.0,1982.0,2006,24.0,1,0.0,0.0,Y1941500,physical_fight,True,False
3001,30.0,1982.0,2008,26.0,1,0.0,0.0,Y2257500,physical_fight,False,False
3001,30.0,1982.0,2010,28.0,1,0.0,0.0,Y2609100,physical_fight,False,False
3001,30.0,1982.0,2012,30.0,1,0.0,0.0,Y2959200,physical_fight,False,False
3002,30.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
3002,30.0,1987.0,2004,17.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
3002,30.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
3002,30.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
3002,30.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
3002,30.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
3003,30.0,1991.0,2006,15.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
3003,30.0,1991.0,2008,17.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
3003,30.0,1991.0,2010,19.0,1,0.0,0.0,Y2609100,physical_fight,True,False
3003,30.0,1991.0,2012,21.0,1,0.0,0.0,Y2959200,physical_fight,True,False
3701,37.0,1990.0,2012,22.0,1,0.0,0.0,Y2959200,physical_fight,True,False
4301,43.0,1982.0,1998,16.0,3,0.0,0.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
4301,43.0,1982.0,2002,20.0,1,0.0,0.0,Y1416800,physical_fight,True,False
4301,43.0,1982.0,2006,24.0,1,0.0,0.0,Y1941500,physical_fight,True,False
4301,43.0,1982.0,2008,26.0,1,0.0,0.0,Y2257500,physical_fight,False,False
4301,43.0,1982.0,2010,28.0,1,0.0,0.0,Y2609100,physical_fight,False,False
4301,43.0,1982.0,2012,30.0,1,0.0,0.0,Y2959200,physical_fight,False,False
4302,43.0,1989.0,2004,15.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
4302,43.0,1989.0,2006,17.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
4302,43.0,1989.0,2008,19.0,1,0.0,0.0,Y2257500,physical_fight,True,False
4302,43.0,1989.0,2010,21.0,1,0.0,0.0,Y2609100,physical_fight,True,False
4302,43.0,1989.0,2012,23.0,1,0.0,0.0,Y2959200,physical_fight,True,False
4303,43.0,1997.0,2012,15.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
4304,43.0,2000.0,2016,16.0,1,0.0,0.0,Y3670801,hurt_physically,True,False
